[2026-06-16T05:16:29.005Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.055Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:29.102Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.133Z] check sc=0 len=8553 ZXAN=true
[2026-06-16T05:16:29.149Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.196Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.244Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.292Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.338Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.388Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.433Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:29.480Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.528Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.576Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.637Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.637Z] check sc=0 len=9141 ZXAN=true
[2026-06-16T05:16:29.686Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:29.734Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.782Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.830Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:29.947Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.003Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:30.077Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.128Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:30.143Z] check sc=0 len=9438 ZXAN=true
[2026-06-16T05:16:30.175Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.224Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.271Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.317Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.364Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.411Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.459Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.505Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.553Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.617Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.649Z] check sc=0 len=10026 ZXAN=true
[2026-06-16T05:16:30.665Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:30.712Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.758Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.806Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.927Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:30.980Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:31.028Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.112Z] DATA recv len=57 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.156Z] check sc=0 len=10380 ZXAN=true
[2026-06-16T05:16:31.156Z] DATA recv len=2 estado=3 d[1]=10 ZXAN=true
[2026-06-16T05:16:31.204Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
[2026-06-16T05:16:31.252Z] DATA recv len=59 estado=3 d[1]=47 ZXAN=true
